Applicant_ID,Annual_Income,Current_Debt,Credit_Score,Loan_Amount,Years_Employed,Debt_to_Income,Risk_Factor,Loan_Status
1001,67450,11624,600,26247,3,0.17233506300963677,-4.576649369903632,0
1002,57926,14277,815,22105,0,0.24646963367054517,-5.685303663294549,0
1003,69715,11037,669,23999,15,0.15831600086064693,-6.606839991393532,0
1004,82845,13460,749,11502,18,0.16247208642645905,-7.6652791357354095,0
1005,56487,5531,797,18897,15,0.09791633473188521,-8.490836652681148,0
1006,56487,16066,619,14604,10,0.28441942393825126,-4.345805760617488,0
1007,83688,15006,606,30815,7,0.17930886148551764,-4.966911385144823,0
1008,71511,10914,588,25722,0,0.15261987666233168,-4.353801233376683,0
1009,52957,18296,838,16595,8,0.3454878486319089,-5.725121513680912,0
1010,68138,19687,567,12316,11,0.2889283512870938,-3.8807164871290616,1
1011,53048,6962,769,20970,7,0.13123963203136782,-7.077603679686322,0
1012,53014,11186,793,25462,16,0.21100086769532575,-7.419991323046743,0
1013,63629,11154,847,11324,9,0.17529742727372738,-7.617025727262727,0
1014,31300,10300,832,15341,6,0.329073482428115,-5.629265175718849,0
1015,34126,19147,623,14472,18,0.5610678075367754,-2.4193219246322455,1
1016,51565,14030,659,24334,5,0.27208377775623,-4.3691622224377,0
1017,44807,13677,729,18150,18,0.30524248443323587,-6.037575155667641,0
1018,64713,4980,581,18360,17,0.07695517129479394,-6.74044828705206,0
1019,46379,18177,783,20873,14,0.391923068630199,-5.31076931369801,0
1020,38815,8803,831,15608,1,0.2267937652969213,-6.142062347030787,0
1021,81984,15299,574,12781,13,0.18660958235753317,-5.173904176424669,0
1022,56613,16386,828,26848,9,0.28943882147210004,-6.285611785278999,0
1023,61012,21803,775,27312,15,0.35735592998098736,-5.676440700190126,0
1024,38628,8455,606,20897,6,0.21888267577922751,-4.471173242207724,0
1025,51834,-97,729,21260,7,-0.0018713585677354633,-8.008713585677354,0
1026,61663,15919,781,26305,9,0.25816129607706406,-6.128387039229359,0
1027,42735,24002,836,20783,14,0.5616473616473616,-4.143526383526384,0
1028,65635,21194,613,17904,7,0.32290698560219394,-3.6009301439780605,1
1029,50990,16048,781,20196,12,0.3147283781133556,-5.862716218866444,0
1030,55624,12541,838,26965,11,0.22546023299295267,-7.225397670070475,0
1031,50974,19035,762,20266,7,0.3734256679876015,-4.585743320123985,0
1032,87784,10132,807,16653,14,0.11541966645402352,-8.315803335459766,0
1033,59797,17381,567,20735,11,0.29066675585731727,-3.8633324414268273,1
1034,44134,17527,724,23281,10,0.39713146327094756,-4.268685367290525,0
1035,72338,20301,778,22681,18,0.2806408803118693,-6.773591196881307,0
1036,41687,28798,775,22764,13,0.6908148823374194,-2.1418511766258055,1
1037,63132,16962,633,15866,17,0.2686751568142939,-5.343248431857061,0
1038,30604,12455,840,23850,12,0.4069729447131094,-5.530270552868907,0
1039,40077,14872,795,20142,3,0.3710856601042992,-4.539143398957008,0
1040,62952,6154,659,16441,16,0.09775702122251874,-7.212429787774813,0
1041,71076,11526,803,23810,18,0.16216444369407396,-8.20835556305926,0
1042,62570,12953,637,17731,8,0.20701614192104842,-5.099838580789515,0
1043,58265,12379,621,12128,6,0.21246031064961812,-4.685396893503818,0
1044,55483,15761,579,14996,0,0.2840689941063028,-2.949310058936972,1
1045,37822,10887,721,19091,6,0.28784834223467826,-4.931516577653217,0
1046,49202,20605,726,22891,6,0.41878378927685866,-3.6721621072314137,1
1047,53090,15001,688,15679,19,0.2825579205123375,-5.954420794876624,0
1048,75856,14953,743,18796,6,0.19712349715249947,-6.058765028475005,0
1049,65154,13360,735,13916,7,0.20505264450379102,-5.99947355496209,0
1050,33554,15775,767,24910,15,0.470137688502116,-4.46862311497884,0
1051,64861,19125,713,28586,2,0.29486131882024635,-4.381386811797537,0
1052,54223,10664,710,28046,12,0.19666931007137192,-6.33330689928628,0
1053,49846,11709,562,24824,9,0.23490350278858885,-4.1709649721141115,0
1054,69175,13481,845,24312,17,0.19488254427177448,-8.201174557282254,0
1055,75464,8270,638,9640,6,0.1095886780451606,-5.884113219548393,0
1056,73969,10903,591,20885,4,0.14739958631318525,-4.836004136868148,0
1057,47411,12618,759,17519,6,0.26614076901984773,-5.528592309801522,0
1058,55361,19371,778,24402,16,0.34990336157222596,-5.880966384277741,0
1059,64968,16312,824,7312,3,0.2510774535155769,-6.029225464844231,0
1060,74633,15967,828,20964,15,0.21394021411439978,-7.640597858856001,0
1061,52812,19254,800,18927,18,0.3645762326743922,-6.154237673256078,0
1062,57215,14313,757,25592,9,0.25016167089050073,-5.968383291094993,0
1063,43404,16952,689,27739,2,0.3905630817436181,-3.184369182563819,1
1064,42056,14483,829,15355,2,0.34437416777629826,-5.0462583222370165,0
